דבהי'ב ז יא
דבהי'ב ט כד
דבהי'ב יב יב
דבהי'ב טו טו
דבהי'ב יח יח
דבהי'ב כ לא
דבהי'ב כג יא
דבהי'ב כו ב
דבהי'ב כט יא
דבהי'ב לא י
דבהי'ב לד ב
דבהי'ב לה ו
